epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.6006,2.91602,10.4535,2.50291,0,0,0,0,2.436,6.67144,2.42413,0.00014,0.00014,0.00014
2,25.1306,2.65501,9.34062,2.44573,0.00059,0.16667,0.00115,0.00018,2.43762,6.7874,2.44951,0.00029703,0.00029703,0.00029703
3,32.5376,2.42873,7.7617,2.26345,0.00039,0.11111,0.00022,5e-05,2.7046,6.9974,2.81411,0.000450892,0.000450892,0.000450892
4,39.7174,2.43949,6.99587,2.16848,0.00039,0.11111,0.00022,3e-05,2.40645,6.64296,2.35378,0.000601586,0.000601586,0.000601586
5,47.7259,2.50333,7.57237,1.92897,0.0002,0.05556,0.00011,2e-05,2.82409,7.7649,2.64318,0.000749112,0.000749112,0.000749112
6,53.2777,2.27295,6.00515,1.96557,0.00078,0.22222,0.00103,0.00013,2.67682,6.81607,2.48147,0.00089347,0.00089347,0.00089347
7,59.6765,2.3753,6.37413,2.04193,0.00059,0.16667,0.0004,0.00012,3.02527,6.6343,2.70454,0.00103466,0.00103466,0.00103466
8,66.2671,2.34668,5.56937,1.98111,0.00078,0.22222,0.0005,0.00022,2.62314,5.76043,2.43566,0.00117268,0.00117268,0.00117268
9,72.0805,2.1765,5.53074,1.90169,0.00137,0.38889,0.0299,0.007,2.54361,4.46613,2.03545,0.00130754,0.00130754,0.00130754
10,78.8993,2.36237,5.28702,1.92445,0.3176,0.08059,0.09395,0.01313,2.78558,3.76709,2.45976,0.00143922,0.00143922,0.00143922
11,84.3507,2.29433,4.97434,2.0082,0.08237,0.05556,0.02655,0.00867,2.49987,3.84623,2.86064,0.00156774,0.00156774,0.00156774
12,91.2212,2.40172,5.2803,2.07627,0.09349,0.16667,0.02909,0.00753,2.76604,4.64875,2.8458,0.00169309,0.00169309,0.00169309
13,96.5549,2.32709,4.78662,1.91846,0.14676,0.05556,0.01924,0.01043,2.69653,5.345,2.65592,0.0017624,0.0017624,0.0017624
14,103.279,2.42131,4.89164,2.007,0.00059,0.16667,0.00036,0.00011,3.76847,9.31127,10.4444,0.0017426,0.0017426,0.0017426
15,108.876,2.36689,4.52142,1.92903,0.00137,0.38889,0.0015,0.00032,2.90034,4.62334,3.13675,0.0017228,0.0017228,0.0017228
16,114.478,2.35074,4.28331,1.91979,0.76273,0.05556,0.07574,0.01303,2.48895,5.22623,2.43978,0.001703,0.001703,0.001703
17,121.602,2.23622,4.32178,1.92306,0.09472,0.11111,0.04647,0.01898,2.43111,4.10049,2.17171,0.0016832,0.0016832,0.0016832
18,126.639,2.27797,4.68916,2.0189,0.21971,0.16667,0.10068,0.05971,2.30517,5.66901,2.10519,0.0016634,0.0016634,0.0016634
19,133.668,2.29942,4.06046,2.00095,0.66045,0.16667,0.17465,0.07442,2.31116,3.58219,2.08337,0.0016436,0.0016436,0.0016436
20,139.296,2.34295,4.18886,2.00946,0.27262,0.11111,0.09909,0.04023,2.56199,4.18034,2.22731,0.0016238,0.0016238,0.0016238
21,146.63,2.27312,3.65897,1.97133,0.1809,0.27778,0.11459,0.05533,2.37196,4.48199,2.23647,0.001604,0.001604,0.001604
22,151.7,2.12831,3.7272,1.80926,0.10099,0.16667,0.0974,0.04033,2.53267,4.30236,2.47647,0.0015842,0.0015842,0.0015842
23,157.783,2.17373,3.60985,1.86588,0.43298,0.05556,0.05073,0.02142,2.48673,4.13792,2.30026,0.0015644,0.0015644,0.0015644
